"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","7","1","T0_T12","c_V1","VP","1",NA,129945.980647943,0.146713379584015,"LM_SR",-93327.7661659369
"NJ2020","7","1","T0_T24","c_V1","VP","1",NA,56506.1576647779,0.307937687341636,"LM_SR",-75384.9401986978
"NJ2020","7","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",247029.04504806
"NJ2020","7","1","T0_T6","c_V1","VP","2",NA,172909.867176628,0.0842887195994331,"LM_SR",-52459.6300318469
"NJ2020","7","1","T0_T9","c_V1","VP","2",NA,95740.9606463125,0.551808582599237,"LM_SR",-150236.423475959
"NJ2020","7","1","T0_T12","c_V1","VP","2",NA,79035.478562805,0.127762358421361,"LM_SR",-52392.2153209739
"NJ2020","7","1","T0_T24","c_V1","VP","2",NA,34342.0400548728,0.276974239020884,"LM_SR",-42510.7619688757
"NJ2020","7","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-224130.517398163
"NJ2020","7","1","T0_T6","c_V1","VP","3",NA,31919.6307114672,0.965494082604834,"LM_SR",-168844.095247067
"NJ2020","7","1","T0_T9","c_V1","VP","3",NA,16571.8831166437,0.977440372201665,"LM_SR",-154264.512425832
"NJ2020","7","1","T0_T12","c_V1","VP","3",NA,71240.5044511562,0.0629807602641496,"LM_SR",-31990.2260311287
"NJ2020","7","1","T0_T24","c_V1","VP","3",NA,31681.779238151,0.0119832559771224,"LM_SR",-6978.22269642938
"NJ2020","1","1","T0_T3","c_V2","VP","1",NA,NA,1,"LM_SR",-32709.76723988
"NJ2020","1","1","T0_T6","c_V2","VP","1",NA,2924.51780257909,0.988932178113813,"LM_SR",-27644.3538181733
"NJ2020","1","1","T0_T17","c_V2","VP","1",NA,5327.22176275637,0.410925170668205,"LM_SR",-6292.33611295913
"NJ2020","1","1","T0_T20","c_V2","VP","1",NA,4875.37049643754,0.000950198935210517,"LM_SR",-260.424568398905
"NJ2020","1","1","T0_T24","c_V2","VP","1",NA,6621.23604796022,0.291403043014636,"LM_SR",8492.12672406252
"NJ2020","1","1","T0_T3","c_V2","VP","2",NA,NA,1,"LM_SR",26782.95879182
"NJ2020","1","1","T0_T6","c_V2","VP","2",NA,28641.6990525736,0.388425845520354,"LM_SR",-22825.9191823352
"NJ2020","1","1","T0_T17","c_V2","VP","2",NA,9092.01527343929,0.0250381807860248,"LM_SR",2060.54799941664
"NJ2020","1","1","T0_T20","c_V2","VP","2",NA,5412.23258705263,0.0598703771485252,"LM_SR",2365.6430101227
"NJ2020","1","1","T0_T24","c_V2","VP","2",NA,4036.72630392765,0.258505926214486,"LM_SR",4766.95124279569
"NJ2020","1","1","T0_T3","c_V2","VP","3",NA,NA,1,"LM_SR",-15763.0219950432
"NJ2020","1","1","T0_T6","c_V2","VP","3",NA,12400.2558069913,0.900193890139689,"LM_SR",-37240.8950796034
"NJ2020","1","1","T0_T17","c_V2","VP","3",NA,8892.9239914774,0.0629539055679456,"LM_SR",-3259.79613060671
"NJ2020","1","1","T0_T20","c_V2","VP","3",NA,6207.92641848722,0.0343581702433101,"LM_SR",2028.21582294265
"NJ2020","1","1","T0_T24","c_V2","VP","3",NA,4473.89784042138,0.172701800948679,"LM_SR",4088.21241147654
"NJ2020","2","1","T0_T3","c_V2","VP","1",NA,NA,1,"LM_SR",-102830.811095473
"NJ2020","2","1","T0_T6","c_V2","VP","1",NA,36680.840234893,0.953639852510855,"LM_SR",-166363.890046625
"NJ2020","2","1","T0_T17.5","c_V2","VP","1",NA,31378.3294183704,0.44457708038292,"LM_SR",-39701.4576296656
